Año;Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la infromación facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
2024;45371;Mujer;España;Guipúzcoa;En pareja;2 noches;;7;Instagram y RRSS;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;9;9;7;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);8;9;45-64;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Atocha;Coche particular;9;9
2024;45371;Mujer;España;Madrid;Residente;Residente;;5;;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;5;4;6;8;4;Sí;4;4;10;;10;No ha buscado información;6;10;45-64;;Residente;10;10;4;4;PIT del Aeropuerto T-4;Residente;10;4
2024;45371;Mujer;España;Córdoba;En pareja;2 noches;;8;esmadrid.com;8;NS/NC;;Los había visto anteriormente;;10;8;8;8;8;5;10;9;8;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);6;9;25-44;;Ocio, recreo y vacaciones;8;9;NS/NC;10;PIT de Callao;Tren;8;9
2024;45371;Hombre;Estados Unidos;;En familia;3 noches;;8;blogs;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;9;8;8;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);8;9;45-64;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Atocha;Avión;9;9
2024;45371;Hombre;México;;En familia;3 noches;;7;esmadrid;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;9;9;8;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);8;9;45-64;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Atocha;Avión;9;8
2024;45371;Hombre;España;Cantabria;En pareja;3 noches;;10;esmadrid.com;10;9;;Los ha encontrado en su recorrido;;9;NS/NC;9;9;10;8;10;9;10;Sí;NS/NC;NS/NC;9;;9;Guías turísticas publicadas sobre la ciudad;8;9;45-64;;Ocio, recreo y vacaciones;;9;NS/NC;8;PIT de CentroCentro;Coche particular;9;10
2024;45371;Mujer;España;Madrid;En pareja;Residente;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;+65;;Residente;10;10;10;10;PIT de CentroCentro;Residente;10;10
2024;45371;Mujer;México;;Con amigos;De 4 a 7 noches;;10;facebook;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Avión;10;10
2024;45371;Mujer;Francia;;En pareja;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;9;9;10;10;10;9;9;NS/NC;10;Sí;9;9;10;;10;Guías turísticas publicadas sobre la ciudad;9;10;25-44;;Ocio, recreo y vacaciones;9;10;9;9;PIT de Callao;Avión;9;9
2024;45371;Mujer;República Dominicana;;Sólo;De 1 a 2 semanas;;9;google;10;10;;Los ha encontrado en su recorrido;;9;10;10;10;10;10;10;10;9;Sí;10;10;10;;10;Internet/web (Indicar páginas);9;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de Callao;Avión;10;10
